source,link,date,grade,scoreType,text
Merlin'in Kazanı (Turkey),http://www.merlininkazani.com/Forspoken-oyun_inceleme-123662p1.html,"Feb  3, 2023",60,Mixed,"
                                Forspoken feels like an unfinished game with a lot of untapped potential. It looked like an indie game that came out that way due to budget constraints when it could have been so much better.
                            "
Daily Star,https://www.dailystar.co.uk/tech/reviews/forspoken-review-okay-ps5-magic-29068593,"Jan 27, 2023",60,Mixed,"
                                The story is cliched too and features far too many well-trodden gaming and movie tropes. So the freshness of what could have been in Forspoken isn’t realised. It’s a good game to play, just not a great game and that’s a shame.
                            "
Eurogamer Germany,https://www.eurogamer.de/forspoken-im-test-kein-besonders-gutes-spiel-ich-will-trotzdem-mehr-davon,"Jan 27, 2023",60,Mixed,"
                                The breezy combat with lots of spells and the beautiful acrobatics are fun —  it’s just a shame the same can‘t be said of the story or setting … Still, I find myself wishing that Luminous get the opportunity to build upon what they have, working towards a more modern, lively adventure.
                            "
MGG,https://www.millenium.org/test/399512.html,"Jan 27, 2023",60,Mixed,"
                                Forspoken barely avoids disaster thanks to its gameplay and its two main characters, two aspects that are not without their faults either. Its few good ideas simply don't manage to make up for its huge shortcomings: Luminous' title quickly gets bogged down in a rousing structure, which will take you through areas that are certainly huge, but empty of interest. The activities all look the same, the level design is very poor, as is the bestiary... In short, it is impossible for us to recommend it at full price.
                            "
Push Square,https://www.pushsquare.com/reviews/ps5/forspoken,"Jan 27, 2023",60,Mixed,"
                                Forspoken should and could have been a better game than it actually is. Its strengths lie in its core gameplay, which is fast, fluid, and great fun at its best. However, unnecessary open world clutter hampers exploration, and the combat system only begins to hit its stride hours into the adventure. If you can push through a poorly paced story, packed with desperately dull characters, then you might find enjoyment in Frey's fantastical abilities, which undoubtedly steal the show both in and out of battle. It's not quite the disaster that the memes would have you believe, but it's certainly not the PS5 showpiece that was once promised, either.
                            "
Eurogamer Poland,https://www.eurogamer.pl/recenzja-forspoken-nie-jest-tragicznie-ale-dobrze-tez-nie,"Jan 26, 2023",60,Mixed,"
                                Forspoken is a disappointment on many levels, including those that can't be fixed with an update. It's a great shame, because Square Enix's open world adventure definitely had potential. It's not a complete write-off, but the quality is simply too far from other high-budget AAA releases it strives to imitate.
                            "
NME,https://www.nme.com/reviews/game-reviews/forspoken-review-3386643,"Jan 25, 2023",60,Mixed,"
                                There’s nothing bespoke about Forspoken’s world, which is why it’s so hard to get caught up in its atmosphere, no matter how it feels to play. It’s a long-haul montage of middling action movie trailers beamed directly into your skull, and you don’t even get to watch a cracking film at the end of it. I’m sure the mechanical joy hiding under its disjointed set dressing will be worth it for some, but it feels like the kind of flat tire that is destined to have its ‘so bad its good’ merit extolled in YouTube videos later down the line. It’s a rare miss for Square Enix, as its big RPGs usually tend to find an audience, even if they do have a bit of jank about them, but I’m not sure Forspoken even knows who it’s targeting.
                            "
Game Rant,https://gamerant.com/forspoken-review/,"Jan 23, 2023",60,Mixed,"
                                So much of the design of Forspoken takes a starting template and duplicates it ad nauseum to the point the biggest incentive to do anything is to flesh out the magic. By the time the credits rolled after 15 hours of story (and a decent amount of side activities), there weren’t any compelling reasons to keep going and cross items off the checklist. Instead, it felt better to appreciate the things that were enjoyable about Forspoken and leave it at that. 
                            "
VG247,https://www.vg247.com/forspoken-review,"Jan 23, 2023",60,Mixed,"
                                In the cut-throat race for your attention, Forspoken feels like a new IP that’s trying to run full pelt alongside heavy-hitting franchises from other big publishers. But it ploughs, shin-first, through every hurdle along the way. Its stuttering start belies a combat system that’s worth investing the effort to learn, but takes so long to get up to full speed that it’s already on borrowed time. 
                            "
IGN,https://www.ign.com/articles/forspoken-review,"Jan 23, 2023",60,Mixed,"
                                Forspoken’s flashy combat and parkour can be fun, but they aren’t enough to make its cliche story and barebones open world very interesting to explore.
                            "
GameSkinny,https://www.gameskinny.com/zgjlx/forspoken-review-when-two-worlds-collide,"Jan 23, 2023",60,Mixed,"
                                Despite all of those missteps, Forspoken skirts by on the merits of its traversal, combat, and upgrade systems. It won’t win any awards come the end of the year, but it's a decent podcast game, the type of title you can play while consuming other content in the background, all without feeling like you’re missing too much.
                            "
NPR,https://www.npr.org/2023/01/22/1150671760/forspoken-review,"Jan 23, 2023",60,Mixed,"
                                Forspoken is a disappointing outing from a developer that touts 'key members' of the Final Fantasy XV team, one which feels at best uninterested in its Black protagonist, and at worst resentful of her.
                            "
Shacknews,https://www.shacknews.com/article/133796/forspoken-review-say-no-more,"Jan 23, 2023",60,Mixed,"
                                It's a shame, because Forspoken's terrible story and its unlikable main character largely bog down what's otherwise a competent action RPG. There's a foundation for something good here, but it sadly doesn't realize that potential.
                            "
TheSixthAxis,https://www.thesixthaxis.com/2023/01/23/forspoken-review/,"Jan 23, 2023",60,Mixed,"
                                Forspoken was once one of the big reveals for the PS5 in 2020, but aside from using the SSD for open world magical parkour and the ultra quick fast travel, it is difficult to really see how it takes advantage of the latest console generation. The world of Athia looks good, and the combat is full of flashy magic, but there's no major side quests to divert from repetitive activities and a predictable main story.
                            "
CD-Action,https://cdaction.pl/recenzje/forspoken-recenzja-pierwsza-gra-nowej-generacji,"Feb  7, 2023",55,Mixed,"
                                In some respects Forspoken is a truly modern game that ditches the past
generation and its limitations. Sadly, it turned out to be no more than
a beautiful foundation ultimately used to create a benchmark rather than
a compelling experience. I greeted the end credits with some relief and
I’ll remember this game mainly as a case of a criminally wasted
potential.
                            "
Oyungezer,//oyungezer.com.tr/inceleme/forspoken-inceleme,"Jan 28, 2023",55,Mixed,"
                                There's a lot I can't get over with Square Enix, but the fact that they made such a big investment in a new brand was a big deal for me. If only Forspoken could have taken the opportunity given by Square Enix much better. At least we still have Final Fantasy XVI on the horizon, right?
                            "
BaziCenter,https://www.bazicenter.com/review/game/forspoken/ ,"Feb  7, 2023",50,Mixed,"
                                Forspoken is a massive open world game, and that's its biggest problem. It's unnecessarily big and there is not enough content and things to do to make up for this huge world, and even though the combat system, spell mechanisms and parkour gameplay are mostly solid, the final product feels shallow and unsatisfying.
                            "
PCMag,https://www.pcmag.com/reviews/forspoken,"Feb  6, 2023",50,Mixed,"
                                Forspoken would be a passable PlayStation title if it were released a decade ago, but it drops the ball as a contemporary AAA game due to its awkward voice performances, muddy visuals, and many bizarre design choices.
                            "
GameOver.gr,https://www.gameover.gr/2023/01/31/forspoken-review/,"Feb  4, 2023",50,Mixed,"
                                Forspoken may have some merits, in terms of combat design and the magic parkour, but it is also, unfortunately, one of the most derivative games we have seen in many years in terms of open world design as well as questing. Especially the secondary quests are joyless and devoid of any redeeming value.
                            "
The Jimquisition,https://www.thejimquisition.com/post/forspoken-cuff-diving-review,"Feb  1, 2023",50,Mixed,"
                                This damn thing should have been linear. It absolutely, positively, should have been linear, and in decades past, before the game industry had boiled everything down to a handful of trends, it would have been. You could have had the parkour, you could have had the combat, and on top of that you could have had some real direction, pacing, and a streamlined experience without so much self-defeating fluff. It should have been linear. 
                            "
Comicbook.com,https://comicbook.com/gaming/news/forspoken-game-review-ps5/,"Jan 29, 2023",50,Mixed,"
                                Forspoken is a game that clearly has cool ideas. It just can't manage to reach the level it aspires to operate at, which is really disappointing. An annoying main character that bogs down a somewhat compelling story, frenetic combat, but weak AI to fight against, and a satisfying traversal system in a dull open world make it clear that every interesting thing comes with a caveat. All of that makes it all the more painful, because you can see the heights this game could reach if it wasn't constantly getting in its own way.
                            "
The Loadout,https://www.theloadout.com/forspoken/review-ps5,"Jan 27, 2023",50,Mixed,"
                                Forspoken is a magic-by-numbers game that is marred by a generic narrative. While the world of Athia can feel bland, the occasional spark of magic from the combat helps it along.
                            "
Gameblog.fr,https://www.gameblog.fr/jeu-video/jeux/tests/test-de-forspoken-une-exclu-ps5-et-pc-inoubliable-415039,"Jan 24, 2023",50,Mixed,"
                                Square Enix did the right thing by investing in an entirely new franchise. But in the end, Forspoken is a huge disappointment with too many flaws to be a good game. A bland open world with forgets to shape its own identity, a poor writing and too many weakness from a technical point of view, coexist with some good gameplay mechanics like the spells and the parkour. 
                            "
GAMINGbible,https://www.gamingbible.co.uk/reviews/forspoken-review-alice-adventures-in-blunderland-389161-20230123,"Jan 23, 2023",50,Mixed,"
                                Did we really, really, really need a cat taming minigame? And you already told me the story of Athia at the start of the game. Why am I now ‘learning’ it again at the end of the game, strolling from point to point, pressing triangle for exposition. It’s a gorgeous game, but God if it’s not like a minorly insipid make-up artist’s Instagram grid. Loads of things to look at but no actual meaning in any of them.
                            "
GamesRadar+,https://www.gamesradar.com/forspoken-review/,"Jan 23, 2023",50,Mixed,"
                                Forspoken shines brightest when its protagonist is dipping, ducking, and diving along the generally striking world of Athia while casting a variety of spells, but the standard fish-out-of-water fantasy story of Frey only subtracts from the experience.
                            "
GameSpot,https://www.gamespot.com/reviews/forspoken-review-forsaken/1900-6418019/,"Jan 23, 2023",50,Mixed,"
                                Forspoken is visually stimulating and a musical delight, but boring combat, poor characterization, and loose movement mechanics make for a mediocre experience.
                            "
Attack of the Fanboy,https://attackofthefanboy.com/reviews/forspoken-review-little-more-than-smoke-and-mirrors/,"Jan 23, 2023",50,Mixed,"
                                Forspoken fails to impress in several ways. Almost every good aspect of the game has a negative flip side. Though Forspoken isn't a bad game, the problems it does have hold it back from being great. All in all, Forspoken is just okay.
                            "
Carole Quintaine,https://carolequintaine.com/?p=48437,"Jan 23, 2023",50,Mixed,"
                                Forspoken is a disappointing game in so many ways. Dated on a whole bunch of points like the visual, it can't keep the player in suspense because of a badly told story and an open world that is unfortunately poor and hopelessly empty overall. The title of Luminous rings hollow despite successful gameplay and a universe that could have been much more generous and provided.
                            "
IGN France,https://fr.icms.ign.com/forspoken/63301/review/test-forspoken-le-jeu-daction-en-monde-ouvert-pas-tres-frey,"Jan 23, 2023",50,Mixed,"
                                Forspoken falls into all the traps set by the design of an action adventure game in an open world, where linking narration and gameplay is a very difficult alchemy. A game that really only begins when it ends.
                            "
XGN,https://www.xgn.nl/review/forspoken-review,"Feb 16, 2023",45,Negative,"
                                Forspoken has a good foundation, but is a mess in execution due to a horrible protagonist, dull combat and technical problems. While there is enough to do in this pretty-looking open world it amounts to very little and so does the story.
                            "
Noisy Pixel,https://noisypixel.net/forspoken-review/,"Feb  1, 2023",45,Negative,"
                                Those who stick out Forspoken until the end may derive enjoyment from how certain elements were tackled like I did, though, ultimately, it’s all too little too late. At the very least, exploring the open world and completing optional tasks after completing the story can be fun, albeit in brief doses, since there’s not much of interest within the environments.
                            "
Gaming Age,https://gaming-age.com/2023/01/forspoken-review-for-ps5-pc/,"Jan 30, 2023",42,Negative,"
                                Despite the sheer amount of words that have been written about the game – including by me, I’ll acknowledge as I pass the 1,500 word mark on this review – the reality is that it’s just a forgettable, mediocre game. It does plenty of things very poorly, but it also does one or two things well enough that you can’t say it’s completely and irredeemably awful. There’s no real reason to seek the game out, and there’s no reason (apart, maybe, from that stupid talking bracelet) to avoid it at all costs: Forspoken is just kind of there.
                            "
GLHF on Sports Illustrated,https://videogames.si.com/reviews/forspoken-review,"Mar  9, 2023",40,Negative,"
                                That’s Forspoken’s biggest problem – everything I like about it gets dragged down by the unrelenting dullness of everything else. The story is boring, the characters are boring, the enemies are boring, and the world is boring.
                            "
PLAY,,"Mar  8, 2023",40,Negative,"
                                Altogether, this is not just a
keenly disappointing full-price
PS5 exclusive, it’s also
particularly discouraging as a
female-fronted production with
a story focused on the magic of
relationships between women,
and a rare triple-A game with a
Black lead. Its message is almost
entirely lost in the pyroclastic
flow of missteps and missed
opportunities. [Issue#25, p.78]
                            "
GGRecon,https://www.ggrecon.com/reviews/forspoken-review/,"Feb 25, 2023",40,Negative,"
                                Despite enjoying some aspects though, Forspoken was unfortunately overall an incredibly disappointing experience. I can absolutely see it working for those who just want an open world with things to tick off, but any form of substance beyond busy work is severely lacking within the world of Athia. It was rather unsurprising to see the game label its side quests as 'detours' - momentary distractions from the driving path. But you quickly figure out once you rejoin the main road that it is, unfortunately, leading to very little.
                            "
Guardian,https://www.theguardian.com/games/2023/feb/17/forspoken-review-missed-opportunity-for-a-great-gaming-heroine,"Feb 17, 2023",40,Negative,"
                                What a shame that Luminous Productions didn’t capitalise on its best assets. Frey’s taken some heat for being overly chatty in Forspoken, but without Ella Balinska’s fantastic performance, the game would be totally forgettable.
                            "
Games.cz,https://games.tiscali.cz/recenze/forspoken-recenze-prvniho-velkeho-propadaku-letosniho-roku-550177,"Feb  6, 2023",40,Negative,"
                                A below average game that does nothing well. It’s ugly, it’s boring, I’m tired of it. Steer clear of this mess.
                            "
Metro GameCentral,https://metro.co.uk/2023/01/27/forspoken-review-how-not-to-launch-a-new-video-game-franchise-18175687/,"Jan 27, 2023",40,Negative,"
                                A litany of missed opportunities results in one of the most aggravating action role-players of recent years, with irritating characters, dull combat, and a frustrating movement system.
                            "
Gamer.no,https://www.gamer.no/artikler/verre-enn-jeg-fryktet/515872,"Jan 26, 2023",40,Negative,"
                                Forspoken is so uninspired and mired in cliches that its fantastic voice acting cast can only do so much to keep the game afloat. And while the movement and combat systems are interesting, they're often on the cusp of greatness without ever really realizing their full potential. 
                            "
The Enemy,https://www.theenemy.com.br/playstation/criticas/review-forspoken,"Jan 24, 2023",40,Negative,"
                                Overall, Forspoken is a failed experiment. The few moments of joy are rarely not succeeded by the most absolute boredom or by questionable gameplay decisions. Look for something else, really.
                            "
AusGamers,https://www.ausgamers.com/games/forspoken/review/,"Jan 23, 2023",40,Negative,"
                                Add to this a less-than-likeable Frey who barely manages to endear herself upon the player, and even less likeable NPCs and a bland, bland game-world I have no desire to learn more about, let alone live in (take me back to New York and my real-world troubles there, please), and you have a game that just… lacks. 
                            "
Dexerto,https://www.dexerto.com/reviews/forspoken-review-eye-catching-combat-cant-save-disappointing-rpg-2038464/,"Jan 23, 2023",40,Negative,"
                                While Forspoken delivers a solid action-based combat system and an array of challenging bosses, it fails to create an engaging narrative thanks to the surface-level characters and at times, unbearable dialogue. Not only that, the outdated open world feels like more of a checklist rather than an opportunity for exploration, leaving you yearning for landscapes from other games that are more memorable, and less lifeless. Ultimately, Forspoken lives or dies with its combat, so if you fell in love with it in the demo, it may be worth your time. However, if you’re looking for an engaging RPG that immerses you in its world with a strong main narrative and interesting side activities, this is certainly not it.
                            "
Hardcore Gamer,https://hardcoregamer.com/reviews/review-forspoken/436022/,"Jan 23, 2023",40,Negative,"
                                Where Forspoken should’ve been a striking and appealing fresh start for Luminous Productions, the end result sadly is a game not only bland and unpolished, but deprived of a reason to care for its unfolding mystery. A bevvy of technical inconsistencies, lackluster open world design and most disappointing of all, a handful of systems with genuine enjoyment at times that don’t see their potential fully realized.
                            "
PLAY! Zine,https://play.co.rs/2023/02/03/vise-kao-forgotten-istog-trenutka-kada-je-izasao-forspoken-recenzija/,"Feb 14, 2023",35,Negative,"
                                Forspoken is an absolute disappointment with ridiculously cringe storytelling, a dead open world and lacklustre AI that prevents the creative combat system from really reaching its potential. With obnoxiously bad optimization for both PC and consoles, this is a game that just tries to be an average open-world experience with some assumed original twist but fails even to meet its mediocre expectations.
                            "
Het Nieuwsblad,https://www.nieuwsblad.be/cnt/dmf20230210_95560860,"Feb 17, 2023",20,Negative,"
                                Forspoken is somewhat reminiscent of the fusion cuisine that caused a furor in the average bistro in the early 1990s...The result is a potpourri of uncomfortably poorly written dialogue, a giant open world of cardboard and struggling to find 'meh' action and combat.
                            "
