source,link,date,grade,scoreType,text
IGN Spain,https://es.ign.com/fire-emblem-engage/186991/review/analisis-de-fire-emblem-engage-un-excelente-tactics-con-sabor-a-clasico,"Jan 17, 2023",80,Positive,"
                                The latest from Intelligent Systems proves that the studio has its finger on the pulse of the genre inside out. After a groundbreaking installment, they return to the classic approach while presenting new features that spice up and make, if possible, even more interesting its great combat system. A must for fans of the genre.
                            "
PC Games,https://www.pcgames.de/Fire-Emblem-Engage-Spiel-74163/Tests/review-gameplay-meinung-wertung-note-video-embleme-nintendo-1411506/,"Jan 17, 2023",80,Positive,"
                                As a longtime fan, I like the optimization options that Fire Emblem Engage allows for. 
                            "
Meristation,https://as.com/meristation/2023/01/17/analisis/1673964357_261615.html,"Jan 17, 2023",80,Positive,"
                                Well focused combat system, very classy flavored, and nicely designed maps can't fully overcome a lackluster story and forgettable characters. It is very good as an strategy game, it´s a bit lacking as a Fire Emblem. 
                            "
Areajugones,https://areajugones.sport.es/videojuegos/analisis-fire-emblem-engage-el-juego-mas-accesible-de-la-saga/,"Jan 17, 2023",80,Positive,"
                                Fire Emblem Engage is a really good Fire Emblem that lacks the same difficulty progression that previous entries. The battles were way too easy at different times and some of them do not really require great strategical thinking. Other than that, overall it is a magnificent Fire Emblem, and almost made it among the best of the franchise.
                            "
Trusted Reviews,https://www.trustedreviews.com/reviews/emblem-ring-engage,"Jan 17, 2023",80,Positive,"
                                Fire Emblem Engage feels like a love letter to loyal fans of the series, providing pangs of nostalgia with recognisable characters, as well as an even deeper combat system that builds upon already solid foundations. Engage isn’t the best entry point into the series, and is rather shallow in terms of story and character development, but the combat is enjoyable enough alone to keep players engrossed until the end.
                            "
RPG Site,https://www.rpgsite.net/review/13676-fire-emblem-engage-review,"Jan 17, 2023",80,Positive,"
                                Fire Emblem Engage is a good tactical RPG with a paper-thin story, shallow characters, and a kitchen-sink approach to far too many subsystems that don't synergize well. If you come to Fire Emblem primarily for its tactical elements, you may have an absolute blast building your perfect team of colorful combatants and their Emblem counterparts. I come away from Fire Emblem Engage satisfied with its tried-and-true gameplay and unique Emblem twist, but I wish the narrative elements made more of an impact on me.
                            "
Nintendo Insider,https://www.nintendo-insider.com/fire-emblem-engage-review/,"Jan 17, 2023",80,Positive,"
                                Despite faltering in its plot delivery and the absence of meaningful decision-making, Fire Emblem Engage once again allows Intelligent Systems to demonstrate its unparalleled strategic brilliance and unquestionable dominance in the genre. It isn’t a game that is lacking in heroic ambition, in many ways evolving its own formula triumphantly beyond what was achieved with Fire Emblem: Three Houses but otherwise disappointingly falling short in others.
                            "
IGN Portugal,https://pt.ign.com/fire-emblem-engage/121314/review/fire-emblem-engage-analise,"Jan 17, 2023",80,Positive,"
                                Without ever completely abandoning the franchise's defining elements, Fire Emblem Engage leaves behind Three Houses' web of friendships and relationships to focus on the battlefield. The result is a somewhat uninspired story and an absolutely brilliant, fluid and extremely engaging combat system capable of being both accessible for beginners and profound for fans of 'min-maxing.'
                            "
Gamer.nl,https://gamer.nl/artikelen/review/fire-emblem-engage-zet-weer-vol-in-op-strategiegameplay/,"Jan 17, 2023",80,Positive,"
                                With Fire Emblem Engage, the extensive social sim of Three Houses is gone. However, the strategy gameplay is stronger than ever. The turn-based fights become more intense because of the Emblem Rings, which sometimes turn the battlefields upside down.
                            "
Gfinity,https://www.gfinityesports.com/reviews/fire-emblem-engage/,"Jan 17, 2023",80,Positive,"
                                From a solid score to a rapturous cast of characters, Fire Emblem Engage refines the strategy format into a worthy successor to what kicked off the West’s obsession with the series. The story is barebones at best, but the Emblem system is bound to ignite a call for more remakes and releases. And we’ll take them. 
                            "
NME,https://www.nme.com/reviews/game-reviews/fire-emblem-engage-review-3378736,"Jan 17, 2023",80,Positive,"
                                Driven by kingdom-trotting carnage, Engage is an essential addition to any strategy fan’s library. Though its opening hours are too cluttered to capture the same charm that Three Houses boasted, riveting combat and an engrossing plot help Engage find its footing long before the credits roll.
                            "
Press Start Australia,https://press-start.com.au/reviews/nintendo-switch/2023/01/18/fire-emblem-engage-review/,"Jan 17, 2023",80,Positive,"
                                As an experience more in-line with the pre-Fates era of Fire Emblem, Engage is a worthy celebration of one of Nintendo's longest running and most storied franchises. Despite many flaws, none of them offset the experience so drastically to sour the overall experience, making for another great entry into the gilded halls of Fire Emblem.
                            "
VG247,https://www.vg247.com/fire-emblem-engage-review,"Jan 17, 2023",80,Positive,"
                                In some ways, that focus-shift back to SRPG fundamentals feels like a possible course correction after the significant ‘Personafication’ of Three Houses. On the other hand, this game still feels like it strives to marry old-school Fire Emblem with those new ideas. As a fan of older Fire Emblem and strategy games in general, I was thrilled to see the depth of combat and the level to which you can make battling your absolute focus. That’s still true even if Engage doesn’t quite get the balance in its execution right in a way that might put a small subset of Three Houses lovers off. It’s still a tremendously satisfying experience, mind. It’s engaging - sorry, I had to get it in – and an easy recommendation. 
                            "
Wccftech,https://wccftech.com/review/fire-emblem-engage/,"Jan 17, 2023",80,Positive,"
                                Fire Emblem Engage’s story is derivative JRPG nonsense and its social elements are skippable, but the game’s battlefield heroics largely make up for its shortcomings. Classic Fire Emblem combat mechanics make their welcome return here and are nicely elevated by the new Engage system and a slate of varied, surprisingly-challenging maps. Fire Emblem Engage won’t be everybody’s favorite entry in the series, but it should be a critical hit with many seasoned generals.
                            "
Digital Trends,https://www.digitaltrends.com/gaming/fire-emblem-engage-review-nintendo-switch/,"Jan 17, 2023",80,Positive,"
                                Rather than following up on 2018’s hit Fire Emblem: Three Houses by repeating its exact playbook, the new tactical RPG is a quick regroup for the long-running series. It looks to reinforce its core combat hook with new systems, like adding extra armor plating onto an ax-wielding knight. It may seem like a step back at a glance, but it's more a lateral move that ensures the series can safely fight its next battle.
                            "
GamesHub,https://www.gameshub.com/news/reviews/fire-emblem-engage-review-38515/,"Jan 17, 2023",80,Positive,"
                                Fire Emblem Engage is focused on making the series’ enduring turn-based tactics more compelling, more exciting, more stunning – and the game does an excellent job at that. Smart new mechanics add much to the feel of battle, and once your army begins rolling through enemy forces across the continent, it’s hard to stop.  
                            "
Metro GameCentral,https://metro.co.uk/2023/01/17/fire-emblem-engage-review-better-than-three-houses-18109551/,"Jan 17, 2023",80,Positive,"
                                A more traditional Fire Emblem experience than Three Houses, but one that’s filled with fun new features and emphasises deep and varied gameplay over dating mini-games.
                            "
Screen Rant,www.screenrant.com/fire-emblem-engage-review/,"Jan 17, 2023",80,Positive,"
                                Ultimately, Fire Emblem Engage is an excellent game that contains one of the finest tactical systems in recent memory, and it's well worth a look for that reason. Just don't expect to remember much about Elyos once the journey ends.
                            "
TheGamer,https://www.thegamer.com/fire-emblem-engage-review/,"Jan 17, 2023",80,Positive,"
                                This is the best Fire Emblem game to play ever. No exaggeration. I have not experienced all of the very early games, but I have seen enough to plant my flag for this one. But to fully experience? Way down the list. It's frustrating in the extreme - I just do not care about these characters and their plight, and even the ones where I might have, the game offers me no reason to invest whatsoever. I highly recommend Fire Emblem Engage because the gameplay and battles are stellar. Just be prepared to find yourself skipping a lot of stuff by the end.
                            "
NPR,https://www.npr.org/2023/03/03/1160656371/npr-staff-review-the-best-new-games,"Mar  6, 2023",78,Positive,"
                                Engage never surprised me the way the preceding Three Houses did. With few exceptions, its characters never revealed the depths I had come to expect from the series. But I still looked forward to every support conversation and every jaw-dropping cinematic, right up until the end. It may be dressed up in anime fluff, but the core mechanics are solid enough to keep you coming back. 
                            "
ZTGD,https://ztgd.com/reviews/fire-emblem-engage-switch/,"Feb 22, 2023",75,Positive,"
                                Fire Emblem: Engage falters as a follow up to what I consider to be the best the series has to offer thus far. However, despite its failings with its lackluster story and characters, the deep customization and enjoyable combat makes it one well worth experiencing anyway.
                            "
Launcher (The Washington Post),https://www.washingtonpost.com/video-games/reviews/fire-emblem-engage-review/,"Jan 18, 2023",75,Positive,"
                                Engage continues the series trend of mashing up tactics and RPG elements, but while the latter falls flat and feels out of place, it excels in the former. And if my biggest qualms are with the game’s least Fire Emblem-y parts, I consider that a solid entry in the series.
                            "
MGG,https://www.millenium.org/test/398093.html,"Jan 17, 2023",75,Positive,"
                                Fire Emblem Engage is a very unbalanced title, on the one hand, it is very affordable for all players, and we loved the challenges it offers at high difficulty levels. But on the other hand, its story and characters made us roll our eyes all the time. Fortunately, the quality realization, at least for the Switch, makes up for it. Also, real efforts have been made to improve the gameplay, and the interface is well thought out. It's a real pleasure to play and watch the fights, which are always accompanied by good animations and music. This can be a great game, if you can ignore the bad parts of it, and focus on the tactical battles.
                            "
New Game Network,https://www.newgamenetwork.com/article/2634/fire-emblem-engage-review/,"Feb  6, 2023",71,Mixed,"
                                Fire Emblem Engage features familiar excellent gameplay with copious ways to customize your team. However, the story is rather dull, and the large roster is hurt by the limited character depth. There's plenty of tactical RPG gameplay to enjoy here, but it feels like a light step back for the series.
                            "
RPGamer,https://rpgamer.com/review/fire-emblem-engage-review/,"Feb 23, 2023",70,Mixed,"
                                Fire Emblem Engage emerges as a decent but ultimately fairly forgettable entry in the series. It seems like a game undecided whether it wants to spend its time celebrating the past or leaving its own mark on the series, and doesn’t really do either. Combat is definitely its strongest point, and here tactical RPG fans will find much to appreciate, but other systems feel like they are there out of sense of obligation rather than being designed to fully complement it. It’s still a good and enjoyable game, but with a firmer direction it could’ve made more of an impact.
                            "
Easy Allies,https://easyallies.com/#!/review/fire-emblem-engage,"Feb 21, 2023",70,Mixed,"
                                Fire Emblem Engage is a return to the series' more established format, and the renewed emphasis on combat and strategy is a boon. Yet these improvements come at the cost of losing the charm and character depth seen in Three Houses. Ideally, there needs to be a path forward that combines the best of both approaches, and in that regard, Engage feels like a missed opportunity. Additionally, the developers really need to address some quality of life issues that kill the pacing, especially when it comes to interacting with your home base. It’s a good effort, but it definitely falls short of the total package we’ve come to expect from Fire Emblem.
                            "
Oyungezer,//oyungezer.com.tr/inceleme/fire-emblem-engage-inceleme,"Feb 19, 2023",70,Mixed,"
                                Engage is a below-average game for the Fire Emblem series, but if you're not interested in anything but strategy genre, you'll love it.
                            "
Digital Spy,https://www.digitalspy.com/tech/a42844269/fire-emblem-engage-review/,"Feb 14, 2023",70,Mixed,"
                                Engage plays confidently and is a highly enjoyable game when you're thrust into battle, the small innovations pushing the strategy and combat into new territory for the series. But it's held back by bland storytelling that fails to provoke much emotion or convey a sense of drive as you canter towards the next destination on the world map. It's a solid Fire Emblem, but lacks the lasting impact to rank as a classic.
                            "
MMORPG.com,https://www.mmorpg.com/reviews/the-rpg-files-fire-emblem-engage-review-2000127283,"Feb 10, 2023",70,Mixed,"
                                Fire Emblem Engage has a lot of great elements, from its striking visuals to the classic Fire Emblem turn-based strategy gameplay. The story being told, however, does not live up to the bar set by other games in the series, while some battles drag on to the point where I'm fighting off a nap just as hard as I'm fighting the enemy armies. I enjoy the game in spurts, but before long I find myself wondering when I can stop engaging with this Fire Emblem. There's enough here to enjoy Fire Emblem Engage, but only the most dedicated will be able to see this through to the end. 
                            "
Hey Poor Player,https://www.heypoorplayer.com/2023/01/31/fire-emblem-engage-review-switch/,"Jan 31, 2023",70,Mixed,"
                                Fire Emblem Engage is a clear step backward for a great series. While the strategy gameplay at the core of it is perhaps the series’ best, everything else here feels weaker. I still enjoyed my time with the game, ultimately thanks to its gameplay which is some of the best in the genre, but after how great Three Houses with, it’s hard not to come away from Engage disappointed.
                            "
Cubed3,http://www.cubed3.com/review/6777/1/fire-emblem-engage-nintendo-switch.html,"Jan 30, 2023",70,Mixed,"
                                Fire Emblem Engage offers the most rewarding, fleshed out and beautifully balanced strategic combat of the series so far, and performs beautifully on the Switch. Its story, characters and social sim element, however, are not up to the standard expected of this beloved franchise. While the combat has matured beautifully, the overall tone has taken a step back. If you're only interested in the trademark Fire Emblem combat, then you'll likely have more fun than you ever have with the series. For players who want a little more from Engage's characters and story, though… you may be disappointed.
                            "
Edge Magazine,,"Jan 26, 2023",70,Mixed,"
                                There's no denying that the fire burns a little less brightly than before. [Issue#381, p.92]
                            "
We Got This Covered,https://wegotthiscovered.com/gaming/review-fire-emblem-engage-turns-back-the-clock-in-more-ways-than-one/,"Jan 20, 2023",70,Mixed,"
                                As a turn-based tactical RPG, Fire Emblem Engage delivers on all fronts. On the other hand, when it comes to its social sim systems and story, this latest entry falls short of the mark, especially when compared to its predecessors.
                            "
Games.cz,https://games.tiscali.cz/recenze/fire-emblem-engage-recenze-noveho-strategickeho-rpg-549418,"Jan 19, 2023",70,Mixed,"
                                The score would be higher if not for the fact that this very same series managed to reach much greater heights with its previous instalment. This time around, the socializing seems perfunctory at best and the story itself feels very, very flat. The combat system is still amazing, but the narrative struggles pretty badly.
                            "
Comicbook.com,https://comicbook.com/gaming/news/fire-emblem-engage-review/,"Jan 17, 2023",70,Mixed,"
                                As a fan of the Fire Emblem series, I enjoyed the new game for what it was. The story isn't exactly original, the gameplay isn't exactly innovative, and there's perhaps a bit too much emphasis on nostalgia (nostalgia that English language fans can't even truly appreciate, given how many Fire Emblem games didn't get released outside of Japan). However, the game is a treat to view and the combat is just challenging enough to keep you on the edge of your seat even if the same handful of tactics seem to work on every map. Fire Emblem Engage neither stands above the other Fire Emblem games nor does it fall below them. It firmly sits in the middle of the pack, which should be good enough for most fans of the franchise but might not appeal to those who haven't really experienced the franchise before. 
                            "
Pocket Tactics,https://www.pockettactics.com/fire-emblem-engage/review,"Jan 17, 2023",70,Mixed,"
                                Fire Emblem Engage has so much to love, yet feels a little empty. With tight and tricky combat, gorgeous graphics and art, and vibrant character designs, its first impression is a good one. But as the story progresses, things feel a little soulless. It’s good and it’s bad, and how much you like it just depends on what you want from it. 
                            "
GameSpot,https://www.gamespot.com/reviews/fire-emblem-engage-review-rings-of-power/1900-6418017/,"Jan 17, 2023",70,Mixed,"
                                While Fire Emblem's combat mechanics have never been better, Engage's story and structure lack the ambition of its predecessors. The result is a predictable and straightforward romp that's carried by its fantastic presentation and engaging combat. And although the Emblem Rings add a deep and satisfying wrinkle to the battles, the heroes contained within them are one-dimensional apparitions that leave a lot to be desired. If you’re looking for a deep tactical RPG with some colorful characters, it will certainly scratch that itch. But beyond that, Fire Emblem Engage feels like a safe, straightforward entry in Nintendo’s long-running series.
                            "
Twinfinite,https://twinfinite.net/2023/01/fire-emblem-engage-review-irish-goodbye/,"Jan 17, 2023",70,Mixed,"
                                At the end of the day, Fire Emblem Engage ends up being a rather middling experience that wasn't afraid to try a few new things as far as combat is concerned, but couldn't come close to the heights that its predecessors have set for the series. I don't necessarily see myself revisiting Engage anytime soon, but if you just want an excuse to see your favorite icons from the series again, or if you're craving more tactical RPG goodness, you could do a lot worse.
                            "
WellPlayed,https://www.well-played.com.au/fire-emblem-engage-review/,"Jan 17, 2023",70,Mixed,"
                                Fire Emblem Engage is enjoyable but leaves little impression. If the narrative was more compelling, if the character relationships were deeper and more interesting or if combat was more varied, there’s every chance that Engage would have felt more robust and impactful. In the absence of those things, Engage just feels…fine.
                            "
PCMag,https://www.pcmag.com/reviews/fire-emblem-engage,"Jan 17, 2023",70,Mixed,"
                                Fire Emblem Engage recalls earlier series entries by hitting familiar tactical notes, but it augments them with a cool, new team-up system. Its multiplayer modes need work, though.
                            "
GRYOnline.pl,https://www.gry-online.pl/newsroom/fire-emblem-engage-recenzja-slabo-ze-juz-zapominam-o-postaciach-z/z123dec,"Feb  2, 2023",65,Mixed,"
                                Fire Emblem: Engage offers a very pleasant and engaging combat system, but the story leaves a lot to be desired (especially when it comes to characters).
                            "
Checkpoint Gaming,https://checkpointgaming.net/reviews/2023/01/fire-emblem-engage-review-ceding-ground/,"Jan 17, 2023",65,Mixed,"
                                Fire Emblem Engage is an okay addition to the Fire Emblem series, with fun and varied maps and enough changes to the tactical mechanics to make it probably worth playing for any FE fan, though not all of its changes are winners. Its spectacular graphics are something to behold; it’s just a shame that it is accompanied by a story that falls completely flat and emblem heroes that are shadows of their former selves. It’s just sadly underwhelming in the face of what its predecessor, Three Houses, achieved better. 
                            "
Gamer.no,https://www.gamer.no/artikler/skal-dette-vere-fire-emblem/515890,"Feb  1, 2023",60,Mixed,"
                                Fire Emblem Engage drowns a solid and entertaining tactics game under layer upon layer of boring filler nonsense that does a very good job of ruining the experience.
                            "
VGC,https://www.videogameschronicle.com/review/fire-emblem-engage/,"Jan 17, 2023",60,Mixed,"
                                Fire Emblem Engage is a great strategy game, but we don’t think it’s a great modern Fire Emblem game. Whether the reverence for the social elements of Three Houses came as a surprise to the team or not, the dearth of those moments in Engage makes it feel like it’s missing half of its core at times.
                            "
Inverse,https://www.inverse.com/gaming/fire-emblem-engage-review,"Jan 17, 2023",60,Mixed,"
                                Fire Emblem’s tradition of focusing on character relationships hit a peak in Three Houses, and we all kind of assumed that would continue into Engage. Sadly, that’s not the case. Fire Emblem Engage scales its social interactions down to a bare minimum, leaving a cast of underdeveloped characters in its wake. At the same time, it features some of Fire Emblem’s best tactical combat, making the game feel as sharply divided as its protagonist’s over-discussed red-and-blue hair.
                            "
App Trigger,https://apptrigger.com/2023/01/26/fire-emblem-engage-review/,"Jan 27, 2023",55,Mixed,"
                                Fire Emblem: Engage feels like a massive step backward from both Awakening and Three Houses. Losing many of the features that made modern Fire Emblem games, ironically, engaging, we’re left with a barebones game that barely feels like a Fire Emblem title. Stories are poorly written, characters are barely fleshed out anime tropes, graphics are muddled, and the series’ signature bold and clear tactical battlefields have been replaced with PS2 era maps with indistinguishable tiny 3D models on them that look near identical until the camera swoops in.
                            "
DualShockers,https://www.dualshockers.com/fire-emblem-engage-review/,"Jan 25, 2023",55,Mixed,"
                                Fire Emblem Engage is mostly a streamlined experience that gives you a taste of what the series has to offer, but doesn’t showcase its true potential as a strategy game. It lacks genuine innovation, and doesn’t quite meet the standards set by previous entries or establish a challenging and balanced system that reflects Fire Emblem's core identity.
                            "
Slant Magazine,https://www.slantmagazine.com/games/fire-emblem-engage-review/,"Jan 29, 2023",50,Mixed,"
                                What makes Fire Emblem Engage especially frustrating is that, even for all of its glaring issues, there’s an undeniable joy in successfully conquering a difficult battalion through a mixture of skill, luck, and good timing.
                            "
GamesRadar+,https://www.gamesradar.com/fire-emblem-engage-review/,"Jan 17, 2023",50,Mixed,"
                                Fire Emblem Engage resurrects the weapon triangle to great effect, making the turn-based combat feel like a game of death and dares, while an unmemorable cast of characters and an unexplored world sadly drag behind it.
                            "
